file_id,label,activity_class,teff,logg,star_mass_msun,star_radius_rsun,rotation_period_days,inclination_deg,sigma_ppm,tau_days,spot_enable,spot_count,spot_radius_deg,spot_contrast,spot_lifetime_days,spot_latitude_deg,spot_longitude_deg,spot_domega,flare_enable,flare_mean_period_days,flare_amplitude_ppm,planet_present,planet_period_days,planet_radius_rjup,planet_radius_earth,planet_sma_au,orbital_angle_deg,transit_depth_ppm,seed,white_bin,act_rms,exp_flares,n_transits,transit_snr_raw,transit_snr_det,detect_raw,detect_det
421,1,strong,6040.7,4.341,1.0730165145498611,1.1581241339967083,13.68,74.72,69.83,1.111,1,5,2.058,0.541,11.0,-11.58,167.36,0.107,1,4.182,100.2,0,,,,,,,1226683627,65.27270155719872,174.88952034643026,64.56074595487252,0,,,,
1050,2,mild,5755.2,4.369,0.9219039268021187,1.0388468676517166,28.27,13.74,16.36,1.92,1,2,1.265,0.669,15.6,-1.37,150.96,0.138,1,48.15,93.4,1,43.5534,0.09863,1.08493,0.23579,101.5,90.95254988556982,1706759204,64.25025812459985,47.27395611401694,5.607332078572728,6,17.863964186544333,22.17845467936207,1.0,1.0
1369,3,strong,5690.6,4.393,0.983988943473672,1.0428979250597366,21.34,74.11,119.02,1.448,1,4,2.487,0.469,20.8,-5.04,246.94,0.129,1,3.713,278.8,1,34.1286,0.3413,3.7543,0.20481,145.89,1080.6594409680008,1453736893,64.93565624423019,422.2669291782315,72.71560452013921,7,40.73505156682012,268.00778131903905,1.0,1.0
1293,3,strong,5631.5,4.357,0.9371323271177828,1.0615284038467212,8.58,79.1,42.46,3.574,1,2,2.51,0.647,6.4,8.21,60.25,0.113,1,2.609,695.9,1,6.1583,0.25207,2.7727700000000004,0.06434,207.81,568.9563729286233,2001686838,66.80965213723215,276.6820335492478,103.48525856009078,43,61.00322582842484,259.8964026562137,1.0,1.0
678,1,strong,5224.0,4.36,1.0800450070032448,1.1376947088489036,14.9,57.48,90.87,1.299,1,3,2.313,0.513,17.1,-6.24,121.74,0.105,1,4.835,420.5,0,,,,,,,2102140451,64.91163860972517,288.48441568407725,55.84137323335612,0,,,,
839,2,mild,6041.3,4.253,1.1573584239904615,1.3288941080439474,28.24,65.88,10.14,2.272,1,3,1.13,0.711,17.1,-6.31,168.86,0.184,1,29.54,19.6,1,32.2963,0.16129,1.77419,0.20838,221.5,148.6394241812778,155356244,66.89061184994932,64.07326808359174,9.139913323739908,8,30.075890529401,41.64763366688992,1.0,1.0
913,2,mild,5378.3,4.348,1.016788574922794,1.1190789419652072,27.56,42.22,22.03,2.41,1,3,1.363,0.665,9.7,10.08,105.61,0.175,1,48.77,49.4,1,19.5939,0.0994,1.0934,0.14303,124.09,79.60699010849383,1080084125,64.41796077199949,62.62040143464333,5.536047561682937,13,18.26510085163916,25.472904186272658,1.0,1.0
1322,3,strong,6360.2,4.275,1.129244454176928,1.281154300535453,10.23,31.48,27.12,3.165,1,4,2.205,0.511,9.4,16.39,137.78,0.101,1,1.181,253.8,1,7.195,0.14335,1.57685,0.07596,237.64,126.32589947995976,1101053254,66.97418803902207,202.87038111821045,228.61392005357905,37,18.295161916498188,58.3593998045427,1.0,1.0
216,0,mild,6095.1,4.439,1.133930115812517,1.0608222116129074,20.74,78.7,6.57,1.777,1,1,0.84,0.76,7.7,-18.54,159.54,0.129,1,47.05,57.4,0,,,,,,,1899954943,63.61834941335165,37.295522883767816,5.738428046403334,0,,,,
509,1,strong,6338.9,4.421,1.1690725780794338,1.104511097191802,21.52,48.36,127.99,1.01,1,4,1.905,0.5,24.6,-6.9,92.2,0.126,1,1.499,181.3,0,,,,,,,765125699,64.40259099645932,194.7094164632184,180.11543667997122,0,,,,
992,2,mild,5559.8,4.504,0.9019898648510196,0.8814894778039915,22.89,89.76,11.9,1.021,1,1,0.89,0.775,14.4,-3.79,86.55,0.239,1,20.74,25.9,1,16.4431,0.11185,1.23035,0.12227,201.52,162.45668757615917,1808621899,61.58007656879703,40.25523856201487,13.017986479425115,16,44.40355534047151,53.049352603046685,1.0,1.0
356,0,mild,5749.4,4.486,0.9781318664291856,0.9347227558266832,33.66,75.3,25.67,1.666,1,2,1.62,0.684,24.1,-14.09,225.12,0.183,1,43.8,21.4,0,,,,,,,1168140903,62.69066558319679,56.280943514682384,6.16422464802002,0,,,,
1338,3,strong,5606.4,4.287,1.0636451912786833,1.2230209229582891,16.87,87.53,145.01,4.665,1,2,2.605,0.451,19.5,-0.24,258.9,0.109,1,1.114,263.4,1,4.7032,0.10234,1.12574,0.05608,77.19,70.65175166618023,714365801,66.16735844251086,324.04969521916405,242.36359029019465,57,7.541870243295628,37.6978666394613,1.0,1.0
937,2,mild,5590.2,4.254,1.1714154088972284,1.3361428898458128,23.53,27.34,8.8,0.953,1,3,1.763,0.671,14.4,-5.47,160.34,0.234,1,25.61,40.6,1,7.318,0.21073,2.31803,0.07776,9.65,250.9844450327508,1689291838,66.40174617079923,69.30952645571305,10.542484950537949,36,81.23090999212015,117.42009010083292,1.0,1.0
921,2,mild,5377.4,4.497,0.903161280259804,0.8873739834322333,27.17,84.51,15.98,1.797,1,2,1.125,0.715,15.0,15.31,164.7,0.161,1,76.49,16.2,1,10.9085,0.15129,1.66419,0.09305,245.08,293.29654333727314,1539034081,60.8955470114208,59.28690706241874,3.529782188302744,24,79.61924407746794,111.12134365313491,1.0,1.0
1045,2,mild,5228.1,4.245,1.1854723938039953,1.3606717596785471,32.54,58.9,12.9,1.083,1,3,1.41,0.752,22.0,-5.9,201.42,0.192,1,31.2,26.9,1,5.7379,0.27261,2.99871,0.06639,352.0,405.0202200175535,2054624103,66.96613360768424,108.42706046037095,8.653623063566567,47,109.10001504253556,207.6225422351472,1.0,1.0
1265,3,strong,5929.5,4.216,1.1690725780794338,1.3901854366527164,8.21,37.31,61.69,4.76,1,3,2.597,0.519,8.8,13.75,167.34,0.115,1,3.587,105.0,1,37.2692,0.14459,1.59049,0.23003,93.39,109.15180664663956,917260458,66.69118779848645,140.1435316797757,75.26987443079923,7,12.893927293657017,30.0065766239077,1.0,1.0
1477,3,strong,5985.1,4.507,1.0613023604607903,0.9692971044349776,15.79,83.49,104.98,2.311,1,2,2.21,0.579,19.2,-8.88,163.17,0.085,1,1.445,145.1,1,6.512,0.18634,2.04974,0.06961,144.35,372.9050233481655,387070641,63.38771106870682,182.1576817762452,186.8463941752781,41,54.43107143847707,165.61890730409743,1.0,1.0
685,1,strong,6072.3,4.262,1.0449025447363278,1.2511795687761116,15.22,38.84,131.42,2.052,1,4,2.44,0.544,15.9,12.12,200.53,0.098,1,1.254,127.3,0,,,,,,,585165803,66.60655962407489,295.45319431234884,215.30545421313943,0,,,,
571,1,strong,6016.7,4.348,1.1058161459989837,1.1662762178261077,14.23,89.92,123.93,3.95,1,2,2.67,0.509,15.1,-19.66,164.26,0.13,1,1.971,286.2,0,,,,,,,1852196467,65.02297642214985,290.14781584101826,136.98276995600042,0,,,,
211,0,mild,5966.3,4.515,1.0613023604607903,0.9692971044349776,21.64,46.6,18.26,2.199,1,1,0.79,0.668,7.9,-6.96,97.66,0.178,1,49.14,15.7,0,,,,,,,691122879,62.63545523469625,34.316244498169084,5.494363849883534,0,,,,
1072,2,mild,5371.4,4.509,0.903161280259804,0.880556140763373,28.58,73.05,21.65,2.264,1,2,0.885,0.744,14.2,0.45,197.85,0.168,1,65.18,31.4,1,15.6622,0.10278,1.13058,0.11842,166.78,137.46844139734606,587932703,61.112617442593,42.33179263215938,4.142268174030022,17,37.99007598140131,46.2139943232146,1.0,1.0
352,0,mild,6131.7,4.25,1.129244454176928,1.3164695906611792,28.27,24.77,12.04,2.483,1,2,1.585,0.723,10.9,-4.62,198.09,0.231,1,41.62,19.4,0,,,,,,,433562475,66.62313243925894,40.06368425270357,6.487098500319003,0,,,,
1419,3,strong,5376.1,4.39,0.9511893120245496,1.0316330073371842,13.22,27.28,122.76,4.672,1,3,1.943,0.55,11.7,-18.8,208.33,0.095,1,1.285,134.8,1,11.1216,0.17272,1.89992,0.0959,204.04,282.83599747386194,1947772020,63.81234090462886,131.86159875901254,210.11131485079912,24,47.77056353669096,109.66434465039434,1.0,1.0
530,1,strong,6067.5,4.548,1.030845559829561,0.9412082390886132,14.13,84.42,53.78,2.127,1,4,1.992,0.544,14.1,2.55,168.52,0.101,1,4.196,113.4,0,,,,,,,1555011471,62.655329665405255,174.24449408565698,64.34533831822614,0,,,,
407,1,strong,5632.8,4.439,0.9582178044779328,0.9780774049896748,19.03,32.12,139.88,2.182,1,3,2.24,0.507,16.8,1.58,188.68,0.111,1,5.839,111.8,0,,,,,,,313823394,63.036542178214894,202.59453809893617,46.23960260032143,0,,,,
1413,3,strong,6058.9,4.549,1.030845559829561,0.9412082390886132,13.08,76.98,148.66,4.597,1,4,2.15,0.565,15.3,-8.8,215.55,0.101,1,3.294,133.4,1,14.7053,0.14927,1.6419700000000002,0.11866,287.68,253.78941657704496,85057505,63.00048875247431,240.08578398728943,81.96510005563961,18,21.631668550572968,85.22609110779055,1.0,1.0
1180,3,strong,5414.1,4.323,1.0613023604607903,1.172133024301499,16.33,43.29,28.27,1.808,1,3,1.91,0.474,17.7,7.3,154.56,0.09,1,1.878,105.9,1,3.6338,0.0999,1.0989,0.04718,171.59,73.29545653906335,1745269164,64.92350716226584,173.78055505198225,143.76626175893338,74,14.910077549835025,42.60398233319802,1.0,1.0
288,0,mild,5304.0,4.494,0.9043326956686604,0.9077183063844484,28.41,43.96,14.28,2.437,1,2,1.765,0.758,19.1,19.12,60.5,0.197,1,39.98,26.9,0,,,,,,,1625434682,62.63350231832365,79.26922066900394,6.753202590877361,0,,,,
1384,3,strong,5890.1,4.202,1.194843717075173,1.435304704547194,10.19,89.32,61.16,1.164,1,4,2.125,0.535,12.5,-13.68,212.45,0.099,1,3.502,119.4,1,15.0452,0.19949,2.19439,0.12656,147.07,194.91888845892265,2061309790,67.7524953458594,182.84032794922544,77.09681313057592,17,24.8582404150044,71.54129173167007,1.0,1.0
1185,3,strong,5428.3,4.49,0.9043326956686604,0.8943949419346711,12.76,68.94,53.16,3.729,1,5,2.564,0.512,12.9,-4.31,152.72,0.11,1,3.264,154.3,1,21.5847,0.31339,3.44729,0.14672,4.06,1238.8293385892484,7908889,62.93121956400969,299.1877888108715,82.71845575468042,12,74.3433694190007,361.1775458667377,1.0,1.0
1048,2,mild,6172.6,4.453,1.0847306686388336,1.022870703185121,28.81,76.69,8.75,1.671,1,1,0.8,0.713,5.8,-13.91,124.38,0.15,1,65.74,77.0,1,32.4995,0.11307,1.24377,0.20479,266.87,123.29719224623295,653958145,63.36251197374434,37.99550310532264,4.106982652620579,8,27.76831451534237,32.378180908075066,1.0,1.0
1005,2,mild,6097.5,4.411,1.140958608265676,1.0986397875163436,25.92,45.35,39.01,2.26,1,3,1.11,0.699,14.1,-6.96,235.55,0.192,1,23.38,23.8,1,4.6239,0.25356,2.78916,0.05676,240.28,537.4656611465153,1233406157,65.40065534318033,120.04276882738498,11.548034199455811,58,130.79472108700318,273.3907767979321,1.0,1.0
462,1,strong,5931.0,4.45,1.0495882063719166,1.0111474364766129,15.85,21.06,34.57,4.388,1,5,2.392,0.606,18.5,2.23,171.3,0.111,1,1.037,437.3,0,,,,,,,858392206,63.86046788518127,199.27480223112087,260.3597295885023,0,,,,
178,0,mild,5813.6,4.366,0.9441608195711662,1.0567044278153517,32.98,56.09,11.17,1.292,1,1,1.28,0.718,19.7,-11.29,312.06,0.176,1,32.31,69.6,0,,,,,,,1487328377,64.40931830783123,49.56273994272225,8.35633053492036,0,,,,
693,1,strong,5599.2,4.229,1.194843717075173,1.3856892648777432,18.94,88.85,46.71,4.9,1,3,2.477,0.451,19.7,0.75,190.81,0.115,1,2.238,142.4,0,,,,,,,57594337,66.68785381418185,230.8917155533688,120.64032152961433,0,,,,
1060,2,mild,5876.6,4.44,1.0027315900160276,0.9987291207890532,22.35,62.22,12.92,1.624,1,1,0.84,0.785,16.3,14.72,227.72,0.162,1,77.99,83.9,1,4.4768,0.18565,2.04215,0.05321,143.39,348.65376790265395,20685485,64.15552549613888,72.86608287359519,3.4618930578699434,60,117.74026118457267,178.17253757179054,1.0,1.0
121,0,mild,5760.7,4.415,0.9207325113932217,0.9853398624399704,26.71,19.08,11.45,1.444,1,2,1.515,0.676,16.5,1.62,187.08,0.187,1,50.73,19.2,0,,,,,,,1538935651,63.56295564176639,41.7531840452155,5.322157295156257,0,,,,
939,2,mild,5331.0,4.546,0.9043326956686604,0.8396614315936923,26.86,80.76,5.29,2.201,1,3,1.27,0.735,10.1,-1.24,155.74,0.18,1,57.26,27.8,1,8.0827,0.21073,2.31803,0.07622,9.64,635.5419268356494,2008078254,61.512835823857536,102.44005270006716,4.715212008090759,33,133.12039318246445,258.5886083179432,1.0,1.0
148,0,mild,5913.7,4.425,0.983988943473672,1.006796501977003,30.65,54.77,21.62,2.14,1,2,0.97,0.666,13.0,-10.91,65.84,0.204,1,36.47,21.4,0,,,,,,,2014949186,63.30306670990542,39.91380736751488,7.403154362031173,0,,,,
828,2,mild,5348.0,4.491,0.9043326956686604,0.8870393474183039,24.58,73.43,11.95,1.426,1,1,0.66,0.656,16.8,17.71,295.58,0.205,1,34.93,45.2,1,46.6158,0.3224,3.5464,0.24513,40.39,1332.9202899631762,77179833,61.37767998440238,119.75740653161266,7.729545937110704,5,132.8201674643819,291.2067658424055,1.0,1.0
1007,2,mild,5564.1,4.246,1.1690725780794338,1.3387984985603738,31.15,39.73,6.88,2.168,1,3,1.513,0.727,19.2,-3.69,188.33,0.152,1,62.07,15.8,1,8.1365,0.22902,2.51922,0.0834,359.46,295.2679233129034,568328903,66.83510478763527,68.77243187966245,4.349815363030077,33,93.33278339853209,133.9191636186882,1.0,1.0
1481,3,strong,5923.3,4.434,1.0542738680075054,1.02642175308866,17.81,34.74,44.7,1.617,1,3,2.173,0.553,19.5,5.82,247.96,0.09,1,4.852,103.8,1,4.9424,0.20897,2.29867,0.05779,25.19,418.23085769136793,1339537287,64.74634743640993,146.73602313331662,55.6457212661329,54,82.89436084984595,205.3407602479769,1.0,1.0
1409,3,strong,6137.1,4.479,1.0941019919100112,1.0005483949609275,13.7,46.76,65.66,2.407,1,4,2.627,0.459,14.5,0.39,167.03,0.088,1,4.779,162.5,1,5.0197,0.26974,2.96714,0.05912,120.55,733.3552227521607,1937634791,65.59747910267748,245.26648224472555,56.49571868241826,53,89.49205793965783,346.36821987261413,1.0,1.0
164,0,mild,5495.8,4.27,1.1433014390836949,1.2981457927134306,23.39,50.19,19.56,1.155,1,2,1.895,0.73,11.5,-0.09,178.02,0.173,1,43.51,60.6,0,,,,,,,1075022054,66.09851544297838,66.04601781202005,6.205310034090482,0,,,,
128,0,mild,5290.2,4.459,0.9277610038466048,0.93624844027476,34.83,46.3,29.08,1.659,1,2,1.21,0.692,17.6,4.47,44.12,0.207,1,25.17,15.6,0,,,,,,,1157495927,62.74734331637509,56.23069875943155,10.726779482847707,0,,,,
1104,2,mild,5812.4,4.213,1.194843717075173,1.4193053413035517,31.14,61.74,5.37,1.709,1,2,0.69,0.72,13.2,9.89,140.48,0.195,1,35.18,29.9,1,49.3247,0.21538,2.36918,0.27931,110.92,232.3587080656527,949241426,66.96073881107485,44.28653990433816,7.674617384402413,5,47.30915306632207,56.72019079231138,1.0,1.0
555,1,strong,5668.9,4.396,0.9019898648510196,0.9945321014319172,12.67,56.53,86.06,3.591,1,4,1.958,0.557,13.6,10.66,164.22,0.1,1,3.539,221.6,0,,,,,,,594348192,64.01583802753183,272.4302628435462,76.29077128659985,0,,,,
959,2,mild,6076.2,4.379,1.030845559829561,1.0845806320822975,28.29,68.59,11.92,1.829,1,1,1.61,0.711,11.7,-9.78,230.47,0.139,1,33.4,15.4,1,5.7996,0.13236,1.45596,0.06382,253.77,150.27602872693762,173676926,64.98920499537505,50.74629963121948,8.083623939619068,46,56.66329558980112,71.89128023577798,1.0,1.0
152,0,mild,5627.6,4.396,0.9254181730288104,1.0103387800037036,27.21,27.21,20.47,1.834,1,1,1.02,0.725,15.2,-6.79,249.86,0.161,1,49.07,16.9,0,,,,,,,429853160,63.72990841243732,39.67005814526739,5.502201744105907,0,,,,
1105,2,mild,6152.5,4.253,1.1878152246217897,1.350709220379895,34.04,17.51,10.15,1.87,1,2,1.215,0.697,18.3,-16.12,325.35,0.204,1,20.13,52.8,1,7.7666,0.14677,1.61447,0.08128,302.54,119.13811971612576,1733205759,66.72098865495676,45.46253599547161,13.412470918195574,34,45.13294896497515,54.614272872210506,1.0,1.0
441,1,strong,5887.6,4.414,0.9324466654821938,0.9921688952361836,15.69,79.16,118.65,3.42,1,4,2.077,0.554,14.5,8.16,193.74,0.074,1,4.547,207.7,0,,,,,,,99470478,64.70145733382316,293.3134330978603,59.37828009308927,0,,,,
948,2,mild,5636.3,4.481,0.9183896805754272,0.9133812424351104,28.7,75.74,17.69,1.324,1,1,1.19,0.795,10.7,-14.77,173.22,0.155,1,29.84,36.1,1,3.5702,0.09427,1.0369700000000002,0.04444,293.09,107.48372752179938,1343038486,62.76433153089808,43.86374673194,9.048024114721075,75,48.08243270770441,58.66078906685284,1.0,1.0
1373,3,strong,6149.5,4.314,1.140958608265676,1.2312142005821924,18.27,59.59,33.33,1.268,1,2,2.135,0.516,18.8,-2.0,181.56,0.076,1,1.925,149.2,1,17.1334,0.10903,1.19933,0.13591,271.57,79.1269952969809,611646477,65.5807228644087,125.57270658510252,140.25612445884514,15,12.443714651920349,26.88068580749784,1.0,1.0
902,2,mild,5811.5,4.322,1.0905877456833195,1.190726852800738,25.42,79.25,11.68,1.19,1,2,1.2,0.678,9.2,12.2,134.05,0.196,1,32.95,21.6,1,47.0935,0.09697,1.06667,0.2627,350.56,66.91914412576635,1314124640,65.20207287998852,44.43363393493691,8.19402244562297,5,12.79330341321424,15.481531881792051,1.0,1.0
951,2,mild,5372.2,4.335,1.0905877456833195,1.179999401656683,32.21,58.26,33.64,1.526,1,1,1.97,0.691,12.6,-19.49,217.32,0.136,1,46.75,18.7,1,10.2123,0.13558,1.49138,0.09482,78.56,133.20715937848416,1734861579,65.21896938296915,57.86001344848539,5.775252183599505,26,40.5513811443703,54.20951429662241,1.0,1.0
1246,3,strong,5624.8,4.315,1.0472453755541222,1.178814746164912,11.19,60.31,58.75,1.441,1,3,2.057,0.574,9.8,-21.29,171.55,0.072,1,2.549,270.2,1,11.4195,0.33752,3.71272,0.10078,310.42,827.1947835993201,1587831278,66.84819256420965,190.07433125067425,105.9211610762169,23,105.06663038161302,316.68080717105164,1.0,1.0
317,0,mild,6180.5,4.461,1.0847306686388336,1.011166861450188,32.13,55.13,38.96,1.241,1,3,1.38,0.697,16.1,14.52,129.41,0.196,1,77.25,18.9,0,,,,,,,854214709,63.60816943214972,76.56957705182218,3.4950555285861085,0,,,,
159,0,mild,6206.0,4.397,1.108158976816778,1.1031289833543958,30.5,73.92,23.77,1.853,1,3,0.873,0.733,14.1,6.22,243.76,0.181,1,39.81,48.1,0,,,,,,,75356846,64.11055986639958,43.3189260738739,6.782040682825341,0,,,,
975,2,mild,6122.0,4.238,1.140958608265676,1.3426298846789466,28.4,65.48,21.53,1.332,1,2,1.685,0.727,12.8,-0.36,282.1,0.143,1,51.04,27.0,1,8.0292,0.21435,2.35785,0.082,269.11,257.17825108749906,1346024790,66.3487854524848,87.99547195794246,5.289832280236616,33,70.97111701912833,117.88374883510612,1.0,1.0
1063,2,mild,5800.0,4.247,1.190158055439584,1.3551195014367636,29.22,75.65,5.8,2.134,1,3,1.27,0.698,16.7,-14.22,145.56,0.185,1,57.53,27.0,1,13.3931,0.18946,2.08406,0.11697,148.96,197.2330804147896,1527639967,66.67313680903142,69.58713124601107,4.693082558374359,20,52.64129820984478,76.09028862215371,1.0,1.0
1079,2,mild,5730.5,4.264,1.133930115812517,1.3039131138057587,34.92,80.1,10.55,0.911,1,1,0.69,0.79,26.8,7.69,299.75,0.186,1,43.32,34.6,1,4.433,0.25279,2.7806900000000003,0.05507,253.2,379.24717605833246,1373563859,67.00787314905112,89.12430084671844,6.232526306169826,60,124.62350967422915,207.37936266343763,1.0,1.0
